id,json,is_valid
1,"[4,1,2,7,5,3,8,9,6]",true
2,"[90,40,10,20]",true
3,[-5],true
4,[],false
5,[],false
6,[],false
7,"[21,26,8,29,20,14,1,17,8,14,21,18,2,29,19,1]",true
8,"[4,1,2,7,5,3,10,8,6,11,12,9]",true
9,[],false
10,"[5,1,2,3,9,10,6,4,13,11,7,8,14,15,16,12]",true
11,[],false
12,[],false
13,[],false
14,[],false
15,[],false
16,"[443,997,853,117,925,619,246,797,255,682,487,513,752,546,821,607,966,450,817,575,759,237,460,475,464,103,145,601,751,130,607,781,466,476,807,351,934,760,783,265,769,950,673,646,395,489,790,646,523,695,450,254,422,120,828,949,973,176,359,485,322,995,954,409,914,680,635,123,216,796,919,760,484,981,536,744,204,282,648,893]",true
17,[],false
18,[],false
19,[],false
20,[],false
21,[],false
22,"[390,702,686,976,941,300,324,661,586,847,780,504,597,359,372,511,401,603,371,600,253,399,124,102,147,498,466,422,271,106,958,362,852,459,528,304,140,279,315,438,224,956,681,594,840,373,803,171,560,387,316,303,936,891,256,842,892,944,386,246,285,528,365,368,581,217,284,438,900,905,165,776]",true
23,[],false
24,[],false
25,[],false
26,"[305,678,635,928,666,455,688,635,847,928,135,933,318,232,242,106,563,505,502,245,961,271,144,302,314,391,229,254,721,976,164,862,643,140,510]",true
27,"[515,103,837,990,666,179,695,389,625,104,807,346]",true
28,[],false
29,[],false
30,[],false
31,[],false
32,[],false
33,"[326,467,358,833,693,602,134,938,629,578,722,759,852,142,635,788,201,466,455,603,134,305,317,677,356,434,764,551,154,372,190,709,648,206,156,340,292,554,947,902,907,723,915,759,194,638,179,695,871,364,450,139,500,655,526,343,123,330,847,291,331,435,911,217,532,606,291,569,195,964,457,515,865,212,571,927,279,488,795,207,302,924,613,264,814,443,400,706,588,970,733,414,101,364,491,101,281,378,396]",true
34,"[575,903,454,724,581,203,642,642,697,234,454,383,155,829,232,920,548,556,697,151,796,280,265,948,748,393,794,149,358,648,729,193,896,432,191,910,815,892,476,123,801,949,513,380,159,335,263,893,621,513,700,160,179,672,120,513,550,490,248,188,467,769,145,564,715,814,885,355,546,921,141,724,940,658,994,680,175,258,753,344,415,655,123,604,966,247,959,141,255,509,664,977,974,380,466,715,863,771,385]",true
35,"[171,852,421,395,692,614,706,372,658,822,702,787]",true
36,[],false
37,[],false
38,[],false
39,"[144,245,965,593,639,523,815,155,215,621,513,422,444,767,980,505,739,887,156,767,912,707,401,421,407,788,195,447,923,526,864,799,514,339,941]",true
40,[],false
41,[],false
42,[],false
43,[],false
44,[],false
45,[],false
46,[],false
47,"[744,922,965,236,633,262,283,694,155,103,798,478,681,888,970]",true
48,[],false
49,[],false
50,"[505,560,229,124,129,862,817,588,597,436,916,834,535,204,823,523,516,483,449,196,832,797,977,408,112,668,257,604,218,431,976,188,497,471,820,428,393,202,658,671,701,242,646,174,252,276,538,216,559,619,529,331,886,452,715,281,659,281,217,919,485,746,235]",true
51,[],false
52,[],false
53,[],false
54,[],false
55,[],false
56,[],false
57,[],false
58,[],false
59,[],false
60,[],false
61,"[152,735,519,400,269,922,211,429,141,820,517,842,362,503,260]",true
62,[],false
63,"[142,885,852,876,363,205,786,708,130,306,167,432,865,381,777,852,179,561,631,272,305,612,481,370,930,182,770,331,162,881,203,323,194,144,588,500,596,421,876,183,157,492,163,328,247,257,118,702,418,436,298,608,744,187,346,321,220,339,131,502,777,264,820]",true
64,[],false
65,[],false
66,[],false
67,[],false
68,[],false
69,"[987,464,849,514,288,627,999,824,513,669,482,285,128,412,303,936,958,813,785,664,484,206,318,732,301,910,189,689,842,709,168,320,461,894,751,295]",true
70,[],false
71,[],false
72,[],false
73,"[908,235,743,206,331,732,834,449,141,372,124,377,360,559,330,669,732,694,809,157]",true
74,[],false
75,[],false
76,[],false
77,[],false
78,"[552,585,528,725,223,123,457,246,605,364,141,235]",true
79,"[440,405,947,743,550,766,155,846,850,806,105,423,628,802,310]",true
80,[],false
81,[],false
82,[],false
83,[],false
84,[],false
85,"[578,834,415,715,558,808,383,346,413,941,562,271,589,850,902,700,650,496,375,367]",true
86,[],false
87,[],false
88,[],false
89,[],false
90,[],false
91,[],false
92,[],false
93,[],false
94,[],false
95,[],false
96,[],false
97,[],false
98,[],false
99,[],false
100,[],false
101,[],false
102,[],false
103,[],false
104,[],false
105,[],false
106,"[667,277,223,391,697,522,824,787,409,438,150,856,449,583,881,994,551,120,274,882,844,886,133,987,597,223,454,446,643,957,359,844,577,723,354,607,839,374,733,321,645,773,419,693,722,829,200,645,602,819,457,649,572,204,671,906,239,362,354,977,964,286,921,877,345,443,124,190,643,312,245,165,247,727,495,496,670,667,413,957,758]",true
107,[],false
108,[],false
109,[],false
110,[],false
111,[],false
112,[],false
113,"[763,348,857,457,443,551,208,685,844,724,269,216,520,117,336,468,922,207,792,655,858,709,107,527,645,951,134,585,671,879,412,838,801,272,997,623,568,962,130,334,768,403,863,830,124,882,176,673,640,649,452,836,938,665,963,674,691,464,539,879,187,280,285,242,325,120,826,140,448,127,786,605,727,444,587,665,792,671,742,821,945]",true
114,[],false
115,"[269,173,368,724,137,389,472,152,198,825,948,749,584,874,563,574,229,828,751,995,460,283,393,489,101,988,377,135,189,704,525,311,632,240,767,765,429,937,641,988,792,394,994,434,709,217,798,428,980]",true
116,[],false
117,"[588,228,165,502,287,985,573,624,803,127,313,577,566,962,682,769,234,112,566,288,575,223,385,829,966,480,888,862,211,662]",true
118,"[626,923,509,465,191,792,282,541,979,185,229,889]",true
119,[],false
120,[],false
121,[],false
122,[],false
123,[],false
124,[],false
125,[],false
126,[],false
127,"[718,632,293,942,935,140,527,679,482,383,197,961]",true
128,"[893,177,860,175,294,475,635,680,932,694,315,977,643,659,822,392,797,560,312,570,113,150,609,276,927,494,108,433,249,307,578,538,145,802,986,982]",true
129,"[375,692,669,737,867,558,871,334,530,173,264,880,475,253,403,967,576,140,724,635,442,278,292,133,411,806,784,312,212,550,741,672,900,152,724,826,703,157,913,620,218,435,122,752,126,652,655,141,502,394,845,838,622,400,652,888,754,277,225,105,329,516,980,766]",true
130,[],false
131,[],false
132,[],false
133,[],false
134,[],false
135,[],false
136,[],false
137,"[317,788,645,733,329,812,443,141,264,316,718,300,325,589,365]",true
138,[],false
139,[],false
140,[],false
141,[],false
142,"[545,288,722,253,688,352,810,133,239,443,187,276,576,567,281,889,845,896,207,518,581,270,812,802,581,224,720,600,878,987,242,210,484,208,870,718]",true
143,[],false
144,[],false
145,[],false
146,[],false
147,"[650,922,132,557,385,521,607,189,643,350,858,548,765,120,348,625,157,828,613,870,898,389,950,482,495,191,777,363,458,381,426,395,951,512,710]",true
148,[],false
149,"[610,683,151,961,399,594,286,916,747,112,697,394,909,353,487,192,672,765,829,146,191,910,916,329]",true
150,[],false
151,[],false
152,[],false
153,[],false
154,[],false
155,[],false
156,[],false
157,"[519,469,916,616,619,976,328,282,809,162,233,599,391,316,743,916]",true
158,[],false
159,[],false
160,[],false
161,"[691,309,213,231,593,829,880,422,364,816,286,183,962,341,643,671,643,889,143,990,385,770,548,657,683,713,237,211,524,636,828,516,476,437,484,229,771,522,101,330,902,760,275,387,542,135,654,887,328]",true
162,[],false
163,[],false
164,[],false
165,[],false
166,"[129,511,597,150,168,842,676,775,501,428,881,536,473,452,955,928,675,335,657,628,549,295,867,959,962,667,190,862,760,404,745,990,842,127,379,623,164,441,660,170,176,112]",true
167,"[635,902,804,597,719,155,874,835,813,555,664,244,511,900,627,996,890,830,315,320,125,305,833,782,363,585,458,668,546,646,850,570,669,633,772,972]",true
168,[],false
169,[],false
170,[],false
171,[],false
172,[],false
173,[],false
174,[],false
175,[],false
176,"[640,889,938,677,696,191,303,489,740,488,285,323,241,554,691,406,974,684,874,272,108,571,152,816,781,125,846,667,614,799,858,151,148,897,282,855,632,470,728,634,341,690,174,284,474,477,480,144,864,876,136,564,520,430,267,786,724,742,967,187,375,346,388]",true
177,"[895,394,480,703,593,403,172,126,169,656,562,898]",true
178,[],false
179,[],false
180,[],false
181,[],false
182,[],false
183,[],false
184,[],false
185,[],false
186,[],false
187,[],false
188,[],false
189,[],false
190,"[767,119,574,694,365,655,893,559,330,628,266,755,818,231,359,194,934,519,898,362,137,195,865,562,644,341,429,144,858,918,827,838,358,513,286,870,904,669,475,537,630,397,747,287,450,430,883,180,499,727,943,125,857,705,667,660,688,287,437,174,714,596,717,833]",true
191,[],false
192,[],false
193,"[408,485,339,928,262,231,967,469,395,431,572,150,946,714,641,537,927,185,798,739,290,355,381,864,212,745,719,438,419,711,295,911,791,173,508,680,953,740,257,480,380,182,193,705,492,865,666,814,981,514,717,549,289,222,378,429,626,858,353,576,263,677,763,375,266,185,770,771,896,568,439,198]",true
194,[],false
195,[],false
196,[],false
197,"[696,763,761,708,676,353,285,541,674,366,694,765,963,393,692,663,329,591,739,468,889,505,715,710,765,811,748,465,481,821,670,276,260,633,529,510]",true
198,[],false
199,[],false